time;inertia.phi;springDamper.tau
2.34000000000000E+00;2.08408612482186E-01;-3.11716432201814E-01
2.40000000000000E+00;2.22209793702936E-01;-1.59570118127148E-01
2.46000000000000E+00;2.36586359329023E-01;-1.07256263972510E-02
2.52000000000000E+00;2.51004073992536E-01;1.29825990768682E-01
2.58000000000000E+00;2.64958424935420E-01;2.57672927462781E-01
2.64000000000000E+00;2.77990320020970E-01;3.69100402463211E-01
2.70000000000000E+00;2.89699385203434E-01;4.61180617264872E-01
2.76000000000000E+00;2.99754644402861E-01;5.31831926910184E-01
2.82000000000000E+00;3.07902151376104E-01;5.79842444043642E-01
2.88000000000000E+00;3.13969263747504E-01;6.04858889864620E-01
2.94000000000000E+00;3.17865738728581E-01;6.07347384783985E-01
3.00000000000000E+00;3.19582094312007E-01;5.88531468145598E-01
3.06000000000000E+00;3.19185437022145E-01;5.50307663680795E-01
3.12000000000000E+00;3.16812729897859E-01;4.95139266243202E-01
3.18000000000000E+00;3.12661772061937E-01;4.25934900378335E-01
3.24000000000000E+00;3.06980626359332E-01;3.45921120472860E-01
3.30000000000000E+00;3.00056183401044E-01;2.58514007473053E-01
3.36000000000000E+00;2.92202097597218E-01;1.67190335917806E-01
3.42000000000000E+00;2.83746221002774E-01;7.53615463597109E-02
3.48000000000000E+00;2.75018338224763E-01;-1.37430777704127E-02
3.54000000000000E+00;2.66338401472574E-01;-9.71783971781434E-02
3.60000000000000E+00;2.58005959867459E-01;-1.72368641168691E-01
3.66000000000000E+00;2.50290993822390E-01;-2.37174941353517E-01
3.72000000000000E+00;2.43426288351698E-01;-2.89944400582175E-01
3.78000000000000E+00;2.37601475432837E-01;-3.29539719840793E-01
3.84000000000000E+00;2.32958903908172E-01;-3.55348972524112E-01
3.90000000000000E+00;2.29591426324349E-01;-3.67276222590943E-01
3.96000000000000E+00;2.27542065533820E-01;-3.65714648425122E-01
4.02000000000000E+00;2.26805432086674E-01;-3.51504321391117E-01
4.08000000000000E+00;2.27330728082872E-01;-3.25876984788798E-01
4.14000000000000E+00;2.29026152210437E-01;-2.90390390710900E-01
4.20000000000000E+00;2.31764483767946E-01;-2.46855034826269E-01
4.26000000000000E+00;2.35389581795486E-01;-1.97256326078573E-01
4.32000000000000E+00;2.39723512078318E-01;-1.43675222331788E-01
4.38000000000000E+00;2.44574014093808E-01;-8.82101894975462E-02
4.44000000000000E+00;2.49742030755041E-01;-3.29030966168591E-02
4.50000000000000E+00;2.55029037964553E-01;2.03286173640650E-02
4.56000000000000E+00;2.60243930144728E-01;6.97514991615760E-02
4.62000000000000E+00;2.65209246043436E-01;1.13865753272206E-01
4.68000000000000E+00;2.69766555681432E-01;1.51443874193825E-01
4.74000000000000E+00;2.73780870267512E-01;1.81557542624127E-01
4.80000000000000E+00;2.77143979024587E-01;2.03592536459129E-01
4.86000000000000E+00;2.79776659154142E-01;2.17251833613689E-01
4.92000000000000E+00;2.81629747222237E-01;2.22547483304129E-01
4.98000000000000E+00;2.82684100819469E-01;2.19782182649709E-01
5.04000000000000E+00;2.82949516603633E-01;2.09521801470872E-01
5.10000000000000E+00;2.82462703343323E-01;1.92560340609517E-01
5.16000000000000E+00;2.81284435608261E-01;1.69878984854782E-01
5.22000000000000E+00;2.79496034906394E-01;1.42601020172734E-01
5.28000000000000E+00;2.77195339992706E-01;1.11944426473136E-01
5.34000000000000E+00;2.74492336507640E-01;7.91739330588691E-02
5.40000000000000E+00;2.71504618059942E-01;4.55542384281767E-02
5.46000000000000E+00;2.68352846684489E-01;1.23059561376666E-02
5.52000000000000E+00;2.65156370831298E-01;-1.94343375751861E-02
5.58000000000000E+00;2.62029144351612E-01;-4.86488016141899E-02
5.64000000000000E+00;2.59076071116907E-01;-7.44668705924166E-02
5.70000000000000E+00;2.56389877820068E-01;-9.61870025355905E-02
5.76000000000000E+00;2.54048593129135E-01;-1.13291271824032E-01
5.82000000000000E+00;2.52113685685287E-01;-1.25452715811311E-01
5.88000000000000E+00;2.50628887430172E-01;-1.32535601294540E-01
5.94000000000000E+00;2.49619703333754E-01;-1.34589013950022E-01
6.00000000000000E+00;2.49093584620683E-01;-1.31834382966384E-01
6.06000000000000E+00;2.49040720812835E-01;-1.24647728726419E-01
6.12000000000000E+00;2.49435386951193E-01;-1.13537559325008E-01
